label id,task id,task family,date done,labeller,is label record done,time to label,real life source,resource limited,not easily resettable,irreversible mistake availability,dynamic environment,difficult counterfactuals,not purely automatic scoring,implicit generalizability required,implicit generalizability requirements are scored,non explicit scoring description,is suboptimal behavior exploited,no provided verification mechanisms,realtime coordination,self modification required,self improvement required,information seeking required,novel situation,good measure opinion,dumb sum of existent realisticness factors,is record trash,exclude task from analysis
13,continue_pattern/easy,continue_pattern,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,1,2,2,FALSE,FALSE
106,continue_pattern/ternary,continue_pattern,1/14/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,1,2,2,FALSE,FALSE
14,credit_card_validity/add_check_digits,credit_card_validity,1/15/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,0,3,2,FALSE,FALSE
107,credit_card_validity/validate_number,credit_card_validity,1/16/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,0,3,2,FALSE,FALSE
15,cuda_backtesting/default,cuda_backtesting,,Megan Kinniment,TRUE,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,4,3,FALSE,FALSE
16,data_deduplication/c4_pairs_1m,data_deduplication,,Megan Kinniment,TRUE,4,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,4,FALSE,FALSE
17,debug_small_libs/markdown,debug_small_libs,1/13/2025 0:00:00,Megan Kinniment,TRUE,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,3,FALSE,FALSE
18,debug_small_libs/orm_allbugs,debug_small_libs,1/13/2025 0:00:00,Megan Kinniment,TRUE,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,3,FALSE,FALSE
19,debug_small_libs/orm_somebugs,debug_small_libs,1/13/2025 0:00:00,Megan Kinniment,TRUE,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,3,FALSE,FALSE
20,env_scientist/level1,env_scientist,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,1,1,1,0,0,0,0,,0,0,0,0,0,0,1,1,3,3,FALSE,FALSE
21,env_scientist/level2,env_scientist,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,1,1,1,0,0,0,0,,0,0,0,0,0,0,1,1,3,3,FALSE,FALSE
22,env_scientist/level3,env_scientist,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,1,1,1,0,0,0,0,,0,0,0,0,0,0,1,1,4,3,FALSE,FALSE
23,env_scientist/level4,env_scientist,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,1,1,1,0,0,0,0,,0,0,0,0,0,0,1,1,4,3,FALSE,FALSE
24,env_scientist/level5,env_scientist,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,1,1,1,0,0,0,0,,0,0,0,0,0,0,1,1,4,3,FALSE,FALSE
25,env_scientist/level6,env_scientist,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,1,1,1,0,0,0,0,,0,0,0,0,0,0,1,1,4,3,FALSE,FALSE
108,env_scientist/level7,env_scientist,1/14/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,1,1,1,0,0,0,0,,0,0,0,0,0,0,1,1,4,3,FALSE,FALSE
109,env_scientist/level8,env_scientist,1/15/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,1,1,1,0,0,0,0,,0,0,0,0,0,0,1,1,3,3,FALSE,FALSE
110,env_scientist/level9,env_scientist,1/16/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,1,1,1,0,0,0,0,,0,0,0,0,0,0,1,1,3,3,FALSE,FALSE
26,esolang/broccoli_collatz,esolang,1/13/2025 0:00:00,Megan Kinniment,TRUE,4,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,5,4,FALSE,FALSE
27,esolang/broccoli_fibonacci,esolang,1/13/2025 0:00:00,Megan Kinniment,TRUE,4,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,4,4,FALSE,FALSE
111,few_shot_prompting/default,few_shot_prompting,,Megan Kinniment,TRUE,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,2,FALSE,FALSE
28,file_recovery/default,file_recovery,1/13/2025 0:00:00,Megan Kinniment,TRUE,2,1,0,0,0,0,0,1,0,,0,0,1,0,0,0,1,0,3,3,FALSE,FALSE
29,gaia/0a3cd321,gaia,1/13/2025 0:00:00,Megan Kinniment,TRUE,7,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,1,0,1,2,FALSE,FALSE
112,grid_transform/6cf79266_n=2_in=20_out=20_colors=3_complexity=120,grid_transform,,Megan Kinniment,TRUE,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,3,0,FALSE,FALSE
113,grid_transform/6cf79266_n=2_in=20_out=20_colors=3_complexity=120_use_visualize,grid_transform,,Megan Kinniment,TRUE,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,3,0,FALSE,FALSE
114,gsm_8k/sd_f_hinted_turbo_format,gsm_8k,,Megan Kinniment,TRUE,3,0,0,0,0,0,0,1,0,,0,0,1,0,0,0,1,1,3,2,FALSE,FALSE
115,hack_container/default,hack_container,,Megan Kinniment,TRUE,,,,,,,,,,,,,,,,,,,1,0,TRUE,TRUE
116,hash_collision/md4_modified,hash_collision,,Megan Kinniment,TRUE,2,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,1,3,1,FALSE,FALSE
30,hypothesis_testing/mystery_function_1,hypothesis_testing,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.25,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,1,4,1,FALSE,FALSE
31,hypothesis_testing/mystery_function_2,hypothesis_testing,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.25,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,1,4,1,FALSE,FALSE
32,hypothesis_testing/mystery_function_4,hypothesis_testing,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.25,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,1,4,1,FALSE,FALSE
117,hypothesis_testing/mystery_function_5,hypothesis_testing,1/14/2025 0:00:00,Megan Kinniment,TRUE,0.25,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,1,4,1,FALSE,FALSE
33,hypothesis_testing/mystery_function_6,hypothesis_testing,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.25,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,1,4,1,FALSE,FALSE
34,hypothesis_testing/mystery_function_8,hypothesis_testing,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.25,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,1,4,1,FALSE,FALSE
118,iclr_authors/notable-top-25,iclr_authors,,Megan Kinniment,TRUE,1,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,1,3,2,FALSE,FALSE
119,iclr_authors/notable-top-5,iclr_authors,,Megan Kinniment,TRUE,1,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,1,3,2,FALSE,FALSE
120,iclr_authors/poster,iclr_authors,,Megan Kinniment,TRUE,1,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,1,3,2,FALSE,FALSE
121,image_labeling/bouba_kiki_gradients,image_labeling,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,3,3,FALSE,FALSE
122,image_labeling/layered_squares,image_labeling,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,3,3,FALSE,FALSE
123,image_labeling/spiral_angle,image_labeling,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,4,3,FALSE,FALSE
124,interpret_building_data/eiffel_tower_progress,interpret_building_data,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,1,1,FALSE,FALSE
125,interpret_building_data/tallest_1972,interpret_building_data,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,2,1,FALSE,FALSE
35,interpret_data/ecommerce_biggest_order,interpret_data,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,3,1,FALSE,FALSE
36,interpret_data/ecommerce_popular_products,interpret_data,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,3,1,FALSE,FALSE
37,interpret_data/ecommerce_spent_most,interpret_data,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,3,1,FALSE,FALSE
39,local_research_tex/33b_better_than_65b,local_research_tex,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.25,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,1,0,4,2,FALSE,FALSE
40,local_research_tex/ar_report,local_research_tex,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.25,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,1,0,4,2,FALSE,FALSE
41,local_research_tex/more_bias,local_research_tex,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.25,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,1,0,4,2,FALSE,FALSE
38,local_research/atari_epochs,local_research,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.25,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,1,0,3,2,FALSE,FALSE
42,local_research/which_does_worse,local_research,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.25,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,1,0,4,2,FALSE,FALSE
127,machine_learning_local/cifar10,machine_learning_local,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,2,1,FALSE,FALSE
43,machine_learning_local/cifar10_reasonable,machine_learning_local,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,2,1,FALSE,FALSE
126,machine_learning/uci_har,machine_learning,,Megan Kinniment,TRUE,,,,,,,,,,,,,,,,,,,,0,TRUE,TRUE
78,make_cli/astrodist,make_cli,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.5,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,4,6,FALSE,FALSE
80,make_cli/mtg_mirage,make_cli,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.5,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,4,6,FALSE,FALSE
81,make_cli/outsiders,make_cli,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.5,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,5,6,FALSE,FALSE
79,make_cli/stargaze,make_cli,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.5,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,5,6,FALSE,FALSE
128,make_web_server/exp_last_digit,make_web_server,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,2,1,FALSE,FALSE
44,make_web_server/hello,make_web_server,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,2,1,FALSE,FALSE
129,multiarmed_bandit/explore_first,multiarmed_bandit,,Megan Kinniment,TRUE,1,0,1,1,1,0,0,0,0,,0,0,1,0,0,0,1,1,4,4,FALSE,FALSE
45,munge_data/chess,munge_data,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,3,1,FALSE,FALSE
46,munge_data/easy,munge_data,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,3,1,FALSE,FALSE
47,munge_data/trajectories,munge_data,,Megan Kinniment,TRUE,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,4,4,FALSE,TRUE
130,munge_data/very_easy,munge_data,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,2,1,FALSE,FALSE
48,number_list_steganography/level1,number_list_steganography,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,4,0,FALSE,FALSE
49,number_list_steganography/level2,number_list_steganography,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,4,0,FALSE,FALSE
50,number_list_steganography/level3,number_list_steganography,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,4,0,FALSE,FALSE
51,oxdna_simple/default,oxdna_simple,1/13/2025 0:00:00,Megan Kinniment,TRUE,3,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,1,4,2,FALSE,FALSE
52,password_check/1,password_check,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,4,0,FALSE,FALSE
53,password_check/2,password_check,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,4,0,FALSE,FALSE
54,password_check/3,password_check,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,4,0,FALSE,FALSE
55,password_check/4,password_check,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,4,0,FALSE,FALSE
56,password_check/5,password_check,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,4,0,FALSE,FALSE
57,password_check/7,password_check,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,4,0,FALSE,FALSE
58,pico_ctf/104_nohint_no_internet,pico_ctf,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,3,1,FALSE,FALSE
59,pico_ctf/166_no_internet,pico_ctf,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,3,1,FALSE,FALSE
60,pico_ctf/208_no_internet,pico_ctf,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,3,1,FALSE,FALSE
61,pico_ctf/256_no_internet,pico_ctf,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,3,1,FALSE,FALSE
62,pico_ctf/264_nohint_no_internet,pico_ctf,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,3,1,FALSE,FALSE
63,pico_ctf/315_nohint_no_internet,pico_ctf,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,3,1,FALSE,FALSE
64,pico_ctf/316_nohint_no_internet,pico_ctf,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,3,1,FALSE,FALSE
131,pytorch_gc_bug/default,pytorch_gc_bug,,Megan Kinniment,TRUE,,,,,,,,,,,,,,,,,,,,0,FALSE,TRUE
132,pytorch_gc_bug/easy_hint,pytorch_gc_bug,,Megan Kinniment,TRUE,,,,,,,,,,,,,,,,,,,,0,FALSE,TRUE
133,questions/swift,questions,,Megan Kinniment,TRUE,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,FALSE,FALSE
65,reverse_hash/input1,reverse_hash,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.25,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,3,1,FALSE,FALSE
66,reverse_hash/input2,reverse_hash,1/14/2025 0:00:00,Megan Kinniment,TRUE,0.25,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,3,1,FALSE,FALSE
67,reverse_hash/input3,reverse_hash,1/15/2025 0:00:00,Megan Kinniment,TRUE,0.25,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,3,1,FALSE,FALSE
68,reverse_hash/input5,reverse_hash,1/16/2025 0:00:00,Megan Kinniment,TRUE,0.25,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,3,1,FALSE,FALSE
69,reverse_hash/input6,reverse_hash,1/17/2025 0:00:00,Megan Kinniment,TRUE,0.25,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,3,1,FALSE,FALSE
134,sadservers/lhasa,sadservers,,Megan Kinniment,TRUE,5,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,1,FALSE,FALSE
135,search_server/address,search_server,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,2,0,TRUE,TRUE
70,search_server/twitter_password,search_server,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,2,0,TRUE,TRUE
136,sentiment_probe/easy,sentiment_probe,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,FALSE,FALSE
137,smart_contract_exploit/main,smart_contract_exploit,,Megan Kinniment,TRUE,2,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,1,1,3,2,FALSE,FALSE
138,spn_cryptanalysis/3-stage-spn,spn_cryptanalysis,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,3,0,FALSE,FALSE
71,spn_cryptanalysis/4-stage-spn,spn_cryptanalysis,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,3,0,FALSE,FALSE
139,spn_cryptanalysis/5-stage-spn,spn_cryptanalysis,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,3,0,FALSE,FALSE
72,symbolic_regression/level_1,symbolic_regression,,Megan Kinniment,TRUE,1,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,1,1,4,2,FALSE,FALSE
73,symbolic_regression/level_2,symbolic_regression,,Megan Kinniment,TRUE,1,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,1,1,4,2,FALSE,FALSE
140,tree_traversal_kernel/default,tree_traversal_kernel,,Megan Kinniment,TRUE,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,5,2,FALSE,FALSE
141,vulnerability_detection/1,vulnerability_detection,,Megan Kinniment,TRUE,2,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,1,1,2,1,FALSE,FALSE
74,web_hacking/command_injection_easy,web_hacking,,Megan Kinniment,FALSE,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,FALSE,FALSE
142,web_hacking/command_injection_easy_hint,web_hacking,,Megan Kinniment,FALSE,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,FALSE,FALSE
75,web_hacking/command_injection_hard,web_hacking,,Megan Kinniment,FALSE,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,FALSE,FALSE
76,wikipedia_research/austrian_votes,wikipedia_research,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,1,0,2,2,FALSE,FALSE
77,wikipedia_research/speaker_of_house,wikipedia_research,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,1,0,2,2,FALSE,FALSE
143,acdc_bug/fix_checkpointing,acdc_bug,1/14/2025 0:00:00,Machine User,TRUE,FAKE ENTRIES ->,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,0,2,2,FALSE,
144,agentbench/8,agentbench,,Matt Goldwater,TRUE,19,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,4,1,FALSE,
145,ai_rd_fix_embedding/main,ai_rd_fix_embedding,,Matt Goldwater,TRUE,10,1,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,4,4,FALSE,
